                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2343,                 1.6075,                 1.2821,                0.66706,                0.49595,                0.53566,                0.30828,                    nan,                    inf,                    nan,               0.070005,              0.0033328,              0.0033328
                      1,                 1.3133,                 1.4127,                 1.3423,                0.69565,                0.49556,                0.56372,                0.33236,                    nan,                    inf,                    nan,               0.039939,              0.0066002,              0.0066002
                      2,                 1.3803,                 1.4848,                 1.3975,                0.57613,                0.53629,                0.53779,                0.31202,                    nan,                    inf,                    nan,              0.0098066,              0.0098015,              0.0098015
                      3,                 1.3742,                  1.452,                 1.4027,                0.61278,                0.56179,                0.59522,                0.34422,                    nan,                    inf,                    nan,               0.009703,               0.009703,               0.009703
                      4,                 1.3263,                 1.3558,                 1.3675,                 0.6714,                0.56349,                0.62543,                0.36981,                    nan,                    inf,                    nan,               0.009703,               0.009703,               0.009703
                      5,                 1.2954,                 1.2944,                 1.3441,                0.68285,                0.59331,                0.65218,                0.38963,                    nan,                    inf,                    nan,               0.009604,               0.009604,               0.009604
                      6,                 1.2744,                 1.2628,                 1.3322,                0.69527,                 0.6004,                0.66225,                0.40439,                    nan,                    inf,                    nan,               0.009505,               0.009505,               0.009505
                      7,                 1.2619,                 1.2364,                 1.3224,                0.71911,                0.59497,                 0.6716,                0.41428,                    nan,                    inf,                    nan,               0.009406,               0.009406,               0.009406
                      8,                 1.2523,                 1.2198,                 1.3155,                0.73149,                0.59033,                 0.6742,                0.41576,                    nan,                    inf,                    nan,               0.009307,               0.009307,               0.009307
                      9,                  1.245,                 1.2066,                 1.3112,                0.71002,                0.60118,                0.67893,                0.42062,                    nan,                    inf,                    nan,               0.009208,               0.009208,               0.009208
                     10,                 1.2372,                  1.195,                  1.307,                0.68425,                0.62771,                0.68086,                0.42224,                    nan,                    inf,                    nan,               0.009109,               0.009109,               0.009109
                     11,                 1.2341,                 1.1881,                  1.303,                0.70339,                0.62682,                0.68483,                0.42654,                    nan,                    inf,                    nan,                0.00901,                0.00901,                0.00901
                     12,                  1.229,                 1.1778,                 1.2982,                0.71882,                0.61523,                0.68797,                0.43072,                    nan,                    inf,                    nan,               0.008911,               0.008911,               0.008911
                     13,                 1.2258,                 1.1686,                 1.2956,                0.72423,                 0.6218,                 0.6912,                0.43404,                    nan,                    inf,                    nan,               0.008812,               0.008812,               0.008812
                     14,                 1.2215,                  1.163,                 1.2933,                0.72712,                0.62177,                0.69228,                0.43641,                    nan,                    inf,                    nan,               0.008713,               0.008713,               0.008713
                     15,                 1.2177,                 1.1564,                 1.2915,                0.72334,                0.63179,                0.69428,                 0.4378,                    nan,                    inf,                    nan,               0.008614,               0.008614,               0.008614
                     16,                 1.2155,                 1.1511,                 1.2886,                0.70971,                0.64951,                0.69731,                0.44117,                    nan,                    inf,                    nan,               0.008515,               0.008515,               0.008515
                     17,                 1.2155,                 1.1504,                 1.2881,                0.71762,                0.64954,                0.70031,                0.44351,                    nan,                    inf,                    nan,               0.008416,               0.008416,               0.008416
                     18,                 1.2114,                 1.1437,                  1.286,                0.73447,                0.64004,                0.70242,                0.44545,                    nan,                    inf,                    nan,               0.008317,               0.008317,               0.008317
                     19,                 1.2107,                 1.1414,                 1.2853,                0.73422,                0.64319,                0.70447,                0.44879,                    nan,                    inf,                    nan,               0.008218,               0.008218,               0.008218
                     20,                 1.2088,                 1.1392,                 1.2834,                0.73609,                0.64312,                0.70615,                   0.45,                    nan,                    inf,                    nan,               0.008119,               0.008119,               0.008119
                     21,                 1.2068,                  1.136,                 1.2824,                0.73923,                 0.6456,                0.70661,                0.45146,                    nan,                    inf,                    nan,                0.00802,                0.00802,                0.00802
                     22,                 1.2048,                 1.1313,                 1.2812,                0.73581,                0.64739,                0.71041,                0.45389,                    nan,                    inf,                    nan,               0.007921,               0.007921,               0.007921
                     23,                 1.2032,                 1.1298,                 1.2786,                0.73773,                 0.6503,                0.71222,                0.45581,                    nan,                    inf,                    nan,               0.007822,               0.007822,               0.007822
                     24,                 1.2001,                 1.1263,                 1.2765,                0.73547,                0.65488,                0.71503,                0.45916,                    nan,                    inf,                    nan,               0.007723,               0.007723,               0.007723
                     25,                 1.2004,                 1.1245,                 1.2774,                0.74177,                0.65452,                0.71555,                0.45984,                    nan,                    inf,                    nan,               0.007624,               0.007624,               0.007624
                     26,                 1.1981,                 1.1225,                 1.2758,                0.74676,                0.65213,                0.71552,                0.46073,                    nan,                    inf,                    nan,               0.007525,               0.007525,               0.007525
                     27,                 1.1935,                 1.1167,                  1.274,                 0.7568,                0.64524,                0.71767,                0.46334,                    nan,                    inf,                    nan,               0.007426,               0.007426,               0.007426
                     28,                 1.1936,                 1.1135,                 1.2715,                 0.7554,                0.64751,                0.71874,                0.46497,                    nan,                    inf,                    nan,               0.007327,               0.007327,               0.007327
                     29,                 1.1912,                 1.1101,                 1.2706,                 0.7569,                0.64554,                0.71911,                0.46547,                    nan,                    inf,                    nan,               0.007228,               0.007228,               0.007228
