                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.9956,                 3.7652,                 1.1881,                0.01262,                0.44136,                0.16541,                0.14383,                      0,                    inf,                      0,                  0.073,                  0.003,                  0.003
                      1,                0.85414,                 2.5772,                 1.0481,                0.64792,                0.15178,                0.26523,                0.22622,                      0,                    inf,                      0,                0.04504,              0.0060396,              0.0060396
                      2,                0.88611,                 2.1665,                  1.033,                0.32887,                0.27295,                0.26665,                0.20843,                      0,                    inf,                      0,               0.017018,              0.0090178,              0.0090178
                      3,                0.91516,                 1.9969,                 1.0463,                0.41323,                0.38513,                0.41634,                0.34747,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                0.87974,                 1.9044,                 1.0301,                0.32792,                0.53524,                0.37923,                0.29992,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                0.91912,                 1.8254,                 1.0396,                0.35113,                0.57261,                0.39875,                0.31592,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                0.88654,                 1.6718,                 1.0209,                0.48534,                0.45531,                0.44318,                0.33749,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 0.8571,                 1.5762,                 1.0129,                0.39449,                0.54222,                0.44067,                0.35505,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                0.83087,                 1.5309,                 1.0034,                0.45667,                0.53963,                0.50767,                0.40376,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                0.86015,                  1.471,                 1.0014,                0.47693,                0.48486,                0.48812,                0.38635,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                0.82203,                 1.4226,                0.99563,                0.52973,                0.53507,                0.52097,                0.42683,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                0.80558,                 1.3781,                0.99323,                0.52375,                0.57719,                0.57497,                0.47766,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.82015,                 1.3291,                0.99773,                0.54955,                0.56248,                0.54802,                0.45981,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.78541,                 1.2795,                0.97223,                0.61432,                0.54228,                 0.5554,                0.46261,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.76767,                 1.2257,                0.97405,                0.54349,                0.52871,                0.50918,                0.43349,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.77046,                 1.1927,                0.97115,                0.63907,                0.58561,                0.57671,                 0.4779,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                0.74129,                 1.1669,                0.97454,                0.57148,                0.56295,                0.56521,                0.48438,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                0.74556,                 1.1672,                0.97049,                0.39275,                0.55768,                 0.4483,                0.36934,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                0.75429,                 1.1163,                0.96833,                0.52531,                0.63122,                0.56586,                0.47913,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                0.73387,                 1.0667,                0.96161,                0.62241,                 0.5863,                0.56228,                0.46984,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                0.71705,                 1.0608,                0.96115,                0.60033,                 0.6435,                0.60112,                0.50571,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                0.73961,                 1.0392,                0.96104,                0.64244,                0.52811,                0.56249,                0.48114,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
