                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.756,                 2.7142,                  1.712,                0.79251,                0.31174,                0.37866,                0.09391,                      0,                    inf,                      0,                0.07028,              0.0033022,              0.0033022
                      1,                 1.5576,                 1.6696,                 1.5349,                0.75416,                0.46013,                0.51101,                0.23506,                      0,                    inf,                      0,               0.040215,              0.0065698,              0.0065698
                      2,                 1.5293,                 1.5108,                 1.4977,                  0.683,                0.50244,                0.56668,                0.20577,                      0,                    inf,                      0,               0.010083,              0.0097715,              0.0097715
                      3,                  1.495,                 1.4129,                 1.4651,                0.67174,                0.64498,                0.67004,                0.27964,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.4667,                 1.3336,                 1.4476,                 0.6388,                0.49746,                0.57629,                0.31104,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.4527,                 1.2757,                 1.4235,                0.71179,                 0.5975,                 0.6701,                0.30055,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                  1.428,                  1.202,                 1.4008,                0.77341,                0.61266,                0.71629,                0.31946,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.4029,                 1.1567,                  1.384,                0.76857,                0.69279,                0.77155,                 0.4108,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.3692,                 1.1205,                 1.3725,                0.79656,                0.68583,                0.76209,                0.44716,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.3713,                 1.0977,                 1.3524,                0.72946,                0.74252,                0.78446,                0.47415,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.3565,                 1.0547,                 1.3441,                0.80187,                0.66526,                0.76142,                0.42036,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.3299,                 1.0286,                 1.3406,                0.76127,                0.70656,                0.78508,                0.47143,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.3124,                0.99272,                 1.3222,                0.80425,                0.69161,                0.78507,                0.36094,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.3105,                0.97939,                 1.3151,                0.78756,                0.72596,                0.78777,                 0.3872,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.2992,                0.95065,                 1.3072,                0.81612,                 0.7255,                0.80051,                0.43039,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.2963,                0.94724,                 1.3048,                0.79275,                0.68475,                0.77285,                0.43199,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.2806,                0.92368,                 1.2918,                 0.7795,                 0.7307,                0.76507,                0.43003,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.2744,                0.90988,                 1.2833,                0.80499,                0.72246,                0.80284,                0.49974,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.2546,                0.88649,                 1.2803,                0.77544,                0.73331,                 0.8006,                0.45485,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.2596,                0.88741,                 1.2769,                0.78256,                0.73748,                0.82577,                0.50196,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.2418,                0.86822,                 1.2666,                 0.7661,                0.75492,                 0.8025,                0.42793,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.2369,                0.85456,                 1.2689,                0.75621,                0.71861,                0.78587,                0.45888,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.2217,                0.84468,                 1.2567,                0.76821,                0.78003,                0.81184,                 0.4643,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.2199,                0.83894,                 1.2599,                0.81343,                0.74173,                0.80945,                0.52615,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.1995,                0.81876,                 1.2561,                0.76675,                0.73716,                0.80742,                0.51079,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.1997,                0.81931,                 1.2445,                0.77684,                0.72633,                0.79042,                0.52623,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                  1.191,                0.81102,                 1.2351,                0.78534,                0.76105,                0.81034,                 0.4777,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.1845,                0.79394,                 1.2321,                0.78142,                0.73826,                 0.7993,                0.49057,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.1969,                0.81099,                 1.2554,                0.81066,                0.75062,                0.81638,                0.46356,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                 1.1874,                0.79065,                 1.2341,                0.80969,                0.75505,                0.82266,                0.49097,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                 1.1672,                0.76856,                 1.2157,                0.79834,                0.76557,                0.83634,                0.51274,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.1583,                0.76379,                 1.2174,                0.76938,                0.79959,                0.81727,                0.52697,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.1616,                0.76465,                 1.2163,                0.73473,                0.84896,                0.80914,                0.51329,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.1553,                0.75118,                 1.2104,                0.79564,                0.72842,                0.80079,                 0.5212,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.1413,                0.74936,                 1.2087,                0.78509,                0.76609,                0.81414,                0.50879,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.1395,                0.74039,                 1.2041,                0.84753,                0.74242,                0.82718,                0.52841,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                  1.137,                 0.7374,                 1.2067,                0.78329,                0.73927,                0.80472,                0.48073,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.1176,                0.72824,                 1.1934,                0.83896,                0.74921,                0.82664,                0.53714,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.1156,                0.72028,                 1.1883,                0.76024,                0.81521,                0.83876,                0.50662,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.1073,                0.71704,                 1.1915,                0.83569,                0.73497,                0.81667,                  0.507,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.1075,                0.71022,                 1.1848,                0.78431,                0.79869,                 0.8313,                0.49837,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
