                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0719,                 4.0093,                 1.2272,                0.00495,                0.39832,                0.11774,                0.11055,                      0,                    inf,                      0,                  0.091,                  0.001,                  0.001
                      1,                0.93509,                 3.7028,                  1.057,                0.00561,                0.39901,                0.18935,                0.17457,                      0,                    inf,                      0,               0.081079,              0.0020792,              0.0020792
                      2,                0.91794,                  3.049,                 1.0295,                0.01423,                0.48902,                0.18732,                0.16871,                      0,                    inf,                      0,               0.071137,              0.0031366,              0.0031366
                      3,                0.89227,                 2.5994,                 1.0205,                0.01255,                0.56479,                0.23028,                0.21383,                      0,                    inf,                      0,               0.061172,              0.0041723,              0.0041723
                      4,                0.85927,                 2.2758,                0.97848,                0.02214,                0.72203,                0.25898,                0.22038,                      0,                    inf,                      0,               0.051186,              0.0051862,              0.0051862
                      5,                0.86413,                 2.1249,                0.98437,                0.87351,                 0.1317,                0.33376,                0.28537,                      0,                    inf,                      0,               0.041178,              0.0061782,              0.0061782
                      6,                0.85567,                 1.9735,                0.96964,                0.69349,                0.26915,                0.40001,                0.33543,                      0,                    inf,                      0,               0.031149,              0.0071486,              0.0071486
                      7,                0.89218,                 1.8391,                0.98576,                0.70325,                0.31267,                0.40973,                0.33493,                      0,                    inf,                      0,               0.021097,              0.0080971,              0.0080971
                      8,                0.93723,                 1.8328,                0.98476,                0.50738,                0.30965,                0.46452,                0.38775,                      0,                    inf,                      0,               0.011024,              0.0090238,              0.0090238
                      9,                0.91085,                 1.8233,                0.98973,                0.54773,                0.46216,                  0.506,                0.41896,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     10,                0.92854,                 1.7492,                0.98199,                0.52772,                0.48842,                 0.5103,                0.42293,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                0.90572,                 1.7208,                0.99808,                0.53643,                0.48243,                0.53929,                0.44986,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.88016,                 1.6429,                0.98563,                0.60656,                0.44587,                0.49444,                0.40932,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.86139,                 1.6059,                0.99085,                0.55121,                0.54047,                0.50677,                0.42277,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.83832,                 1.5277,                0.95666,                0.56576,                 0.5474,                0.56992,                0.45687,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.85688,                 1.5817,                 0.9715,                0.59138,                 0.5799,                0.59158,                0.47354,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                0.85858,                 1.4759,                0.98187,                0.61344,                0.55393,                0.58431,                0.47886,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                0.84354,                 1.4002,                0.94285,                0.52027,                0.52575,                0.45893,                0.35004,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                0.80141,                  1.428,                0.95258,                0.53937,                0.50498,                 0.5082,                0.42346,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                0.82379,                 1.4616,                0.96382,                0.45383,                0.58165,                0.49829,                0.40401,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                0.80895,                 1.3556,                0.96481,                 0.5139,                0.57915,                0.55278,                0.45315,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
