               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059081,            0.037857,            0.019733,             0.62281,             0.39523,             0.40375,             0.20282,            0.029726,            0.014895,           0.0089832,            0.070005,           0.0033328,           0.0033328
                   1,            0.051487,            0.037277,            0.010103,             0.61531,             0.42775,             0.46775,             0.24465,             0.02844,            0.014809,           0.0063857,            0.039939,           0.0066002,           0.0066002
                   2,            0.051686,            0.038502,            0.010062,             0.64036,             0.46655,             0.53776,              0.2749,            0.028392,            0.015118,           0.0068536,           0.0098066,           0.0098015,           0.0098015
                   3,            0.051189,            0.038638,            0.009791,             0.64107,             0.51443,             0.56545,             0.29725,            0.027613,             0.01481,           0.0060598,            0.009703,            0.009703,            0.009703
                   4,            0.049883,            0.038067,           0.0088053,             0.66783,              0.5237,             0.59179,             0.32039,            0.026705,            0.014517,           0.0047284,            0.009703,            0.009703,            0.009703
                   5,             0.04931,            0.037788,           0.0084735,             0.67747,             0.54103,             0.61132,             0.33659,            0.026291,              0.0144,           0.0049746,            0.009604,            0.009604,            0.009604
                   6,            0.048986,            0.037424,           0.0083169,             0.67025,             0.55003,              0.6198,             0.34475,            0.026086,            0.014323,           0.0048414,            0.009505,            0.009505,            0.009505
                   7,             0.04865,             0.03746,           0.0079882,             0.68109,             0.55528,             0.63176,             0.35483,            0.025925,            0.014268,           0.0046191,            0.009406,            0.009406,            0.009406
                   8,            0.048417,            0.037249,           0.0078962,             0.63115,             0.59878,             0.63886,             0.36117,             0.02584,            0.014243,           0.0046184,            0.009307,            0.009307,            0.009307
                   9,            0.048274,            0.037154,           0.0077926,             0.61088,             0.61106,             0.64302,             0.36534,            0.025768,            0.014212,           0.0046142,            0.009208,            0.009208,            0.009208
                  10,            0.048038,            0.036977,           0.0076419,             0.62333,               0.613,             0.64954,             0.37059,            0.025708,            0.014179,           0.0045763,            0.009109,            0.009109,            0.009109
                  11,            0.048002,             0.03699,           0.0076392,             0.65079,             0.61162,             0.65322,             0.37285,            0.025659,            0.014153,           0.0045949,             0.00901,             0.00901,             0.00901
                  12,            0.048017,            0.037014,           0.0076127,             0.65684,             0.62191,             0.65696,              0.3761,            0.025594,            0.014128,           0.0045767,            0.008911,            0.008911,            0.008911
                  13,            0.047964,            0.037008,           0.0075004,             0.66733,             0.61413,             0.65807,             0.37786,            0.025565,             0.01411,           0.0045882,            0.008812,            0.008812,            0.008812
                  14,            0.047843,            0.036947,           0.0073374,             0.66595,               0.612,             0.65933,             0.38222,            0.025506,            0.014088,           0.0046062,            0.008713,            0.008713,            0.008713
                  15,            0.047663,            0.036849,           0.0073817,             0.67566,              0.6111,             0.66066,             0.38197,            0.025436,            0.014063,           0.0045494,            0.008614,            0.008614,            0.008614
                  16,            0.047625,            0.036896,           0.0073768,             0.68647,             0.61073,             0.66436,             0.38365,            0.025378,             0.01404,           0.0045753,            0.008515,            0.008515,            0.008515
                  17,            0.047545,            0.036728,           0.0072804,             0.68948,             0.61185,             0.66595,             0.38579,            0.025344,            0.014023,           0.0046453,            0.008416,            0.008416,            0.008416
                  18,            0.047486,            0.036727,           0.0071988,             0.69541,             0.60445,             0.66813,             0.38723,            0.025298,            0.013998,           0.0046143,            0.008317,            0.008317,            0.008317
                  19,            0.047422,            0.036817,           0.0073654,             0.69769,             0.60592,             0.66861,             0.38858,            0.025267,            0.013974,           0.0045843,            0.008218,            0.008218,            0.008218
                  20,            0.047257,            0.036611,           0.0071493,             0.71092,             0.60257,             0.67103,             0.39107,            0.025236,            0.013962,           0.0046252,            0.008119,            0.008119,            0.008119
                  21,             0.04724,            0.036665,           0.0070945,             0.71541,             0.59726,             0.67293,             0.39217,            0.025181,             0.01394,           0.0046356,             0.00802,             0.00802,             0.00802
                  22,            0.047199,            0.036544,           0.0071208,             0.70953,             0.60245,             0.67456,             0.39383,            0.025122,            0.013921,           0.0046293,            0.007921,            0.007921,            0.007921
                  23,            0.047226,            0.036498,           0.0070154,             0.70298,             0.60543,             0.67546,              0.3957,             0.02508,              0.0139,           0.0046621,            0.007822,            0.007822,            0.007822
                  24,            0.047029,             0.03672,             0.00705,             0.72065,             0.59574,             0.67702,             0.39644,            0.025035,            0.013879,           0.0046184,            0.007723,            0.007723,            0.007723
                  25,            0.047076,            0.036723,           0.0069273,             0.71072,             0.60093,             0.67741,             0.39586,            0.024992,            0.013864,           0.0046176,            0.007624,            0.007624,            0.007624
                  26,            0.046956,            0.036482,           0.0069755,             0.70437,             0.60455,             0.67782,             0.39565,            0.024935,             0.01385,           0.0045969,            0.007525,            0.007525,            0.007525
                  27,            0.046932,            0.036373,           0.0068674,             0.71163,             0.60255,             0.67916,             0.39711,            0.024887,            0.013836,           0.0045606,            0.007426,            0.007426,            0.007426
                  28,            0.046799,            0.036297,           0.0068764,             0.71284,             0.60451,             0.68004,             0.39801,             0.02485,            0.013821,           0.0045164,            0.007327,            0.007327,            0.007327
                  29,            0.046801,            0.036453,            0.006837,              0.7079,              0.6077,             0.68181,             0.40138,            0.024803,              0.0138,           0.0044264,            0.007228,            0.007228,            0.007228
                  30,            0.046741,            0.036563,           0.0068704,             0.70502,             0.61256,             0.68304,             0.40321,            0.024762,            0.013791,           0.0044037,            0.007129,            0.007129,            0.007129
                  31,            0.046774,            0.036539,           0.0067084,             0.71243,             0.61317,             0.68501,             0.40486,            0.024724,            0.013781,           0.0043648,             0.00703,             0.00703,             0.00703
                  32,            0.046695,            0.036377,           0.0067721,             0.71036,             0.61984,             0.68598,             0.40573,            0.024678,            0.013767,           0.0042972,            0.006931,            0.006931,            0.006931
                  33,            0.046625,            0.036298,           0.0067515,             0.71419,             0.61523,             0.68588,             0.40678,            0.024652,            0.013757,           0.0042512,            0.006832,            0.006832,            0.006832
                  34,            0.046562,            0.036261,            0.006619,             0.71303,              0.6177,             0.68631,             0.40806,            0.024624,            0.013744,           0.0042003,            0.006733,            0.006733,            0.006733
                  35,            0.046539,            0.036366,           0.0066605,             0.69814,              0.6285,             0.68757,             0.40779,            0.024589,            0.013734,           0.0041755,            0.006634,            0.006634,            0.006634
                  36,            0.046468,            0.036209,           0.0065957,              0.7034,              0.6262,             0.68773,             0.40988,            0.024559,             0.01372,           0.0042106,            0.006535,            0.006535,            0.006535
                  37,            0.046357,            0.036174,           0.0065678,             0.70792,              0.6268,             0.68952,             0.41056,             0.02454,            0.013711,           0.0042164,            0.006436,            0.006436,            0.006436
                  38,            0.046444,             0.03611,            0.006518,              0.7153,             0.62252,             0.68986,             0.41173,            0.024526,            0.013697,           0.0042419,            0.006337,            0.006337,            0.006337
                  39,            0.046288,            0.036193,           0.0065185,             0.70646,             0.62725,             0.69053,             0.41335,            0.024492,            0.013685,           0.0042041,            0.006238,            0.006238,            0.006238
                  40,            0.046294,            0.036133,           0.0064291,             0.70681,             0.63151,             0.69128,             0.41375,             0.02446,            0.013671,           0.0041366,            0.006139,            0.006139,            0.006139
                  41,             0.04624,            0.036039,           0.0064108,             0.71887,             0.62034,             0.69157,             0.41288,             0.02442,             0.01366,           0.0040579,             0.00604,             0.00604,             0.00604
                  42,            0.046115,            0.035914,           0.0064488,                0.71,             0.62956,             0.69331,             0.41541,             0.02438,            0.013651,           0.0040094,            0.005941,            0.005941,            0.005941
                  43,            0.046103,            0.036011,           0.0064014,             0.71696,             0.62513,             0.69362,             0.41601,            0.024345,            0.013642,           0.0040192,            0.005842,            0.005842,            0.005842
                  44,            0.046003,            0.035956,           0.0062674,             0.72637,             0.62094,             0.69312,             0.41696,            0.024311,            0.013628,           0.0040346,            0.005743,            0.005743,            0.005743
                  45,            0.045997,            0.035919,            0.006407,             0.72626,             0.62209,             0.69443,             0.41651,            0.024283,            0.013619,           0.0040584,            0.005644,            0.005644,            0.005644
                  46,            0.045881,            0.035911,           0.0062898,             0.72033,             0.62969,             0.69453,             0.41582,            0.024248,            0.013605,           0.0040194,            0.005545,            0.005545,            0.005545
                  47,            0.045867,            0.035832,           0.0063129,             0.72366,             0.62708,             0.69614,             0.41661,            0.024235,            0.013601,           0.0040303,            0.005446,            0.005446,            0.005446
                  48,            0.045791,            0.035791,           0.0061713,              0.7275,             0.62435,             0.69717,             0.41846,            0.024215,            0.013589,           0.0039851,            0.005347,            0.005347,            0.005347
                  49,            0.045716,            0.035743,           0.0062429,             0.72464,             0.62782,             0.69802,             0.41963,            0.024197,            0.013575,           0.0039888,            0.005248,            0.005248,            0.005248
                  50,            0.045779,            0.035815,           0.0061012,             0.73218,             0.62182,             0.69953,             0.42156,            0.024177,            0.013563,           0.0039359,            0.005149,            0.005149,            0.005149
                  51,            0.045675,            0.035864,           0.0061606,             0.72301,             0.62974,             0.70002,              0.4223,            0.024144,            0.013543,           0.0038961,             0.00505,             0.00505,             0.00505
                  52,            0.045624,            0.035734,           0.0061144,             0.74114,             0.61625,             0.69947,             0.42372,            0.024126,            0.013532,           0.0039057,            0.004951,            0.004951,            0.004951
